date,open,high,low,close,volume,Name
2017-06-16,996.0,999.75,982.0,987.71,11472662,AMZN
2017-05-31,996.21,999.6,981.68,987.09,1724095,GOOGL
2017-08-03,999.47,999.5,984.59,986.92,3255764,AMZN
2017-07-10,985.0,999.4392,983.5,996.47,3546268,AMZN
2017-05-25,984.85,999.0,982.11,993.38,4822032,AMZN
